ethnicity_response,ethnicities
Black-African American,"[""African-American, Afro-Caribbean or Black""]"
"Afroamericano, afro-caribeño o negro","[""African-American, Afro-Caribbean or Black""]"
5,"[""African-American, Afro-Caribbean or Black""]"
"African-American, Afro-Caribbean or Black","[""African-American, Afro-Caribbean or Black""]"
"African-American, Afro-Caribbean, or Black","[""African-American, Afro-Caribbean or Black""]"
Asian,"[""Asian-American""]"
Asiático-americano,"[""Asian-American""]"
Asian-Caucasian,"[""Asian-American"", ""White""]"
4,"[""Asian-American""]"
Asian-American,"[""Asian-American""]"
"Hispanic, Latinx, or Spanish Origin","[""Hispanic, Latinx, or Spanish Origin""]"
Hispanic/Latino,"[""Hispanic, Latinx, or Spanish Origin""]"
Hispanic/Latinx,"[""Hispanic, Latinx, or Spanish Origin""]"
"Origen hispano, latinoamericano(a)","[""Hispanic, Latinx, or Spanish Origin""]"
1,"[""Hispanic, Latinx, or Spanish Origin""]"
Ecuadorian,"[""Hispanic, Latinx, or Spanish Origin""]"
Mexicano,"[""Hispanic, Latinx, or Spanish Origin""]"
Puertorriqueño,"[""Hispanic, Latinx, or Spanish Origin""]"
Middle Eastern or North African,"[""Middle Eastern or North African""]"
De Oriente Medio or norafricano/norafricana,"[""Middle Eastern or North African""]"
2,"[""Native American or Alaska Native""]"
Native American or Alaska Native,"[""Native American or Alaska Native""]"
Nativo americano o nativo de Alaska,"[""Native American or Alaska Native""]"
Native Hawaiian or Other Pacific Islander,"[""Native Hawaiian or Other Pacific Islander""]"
6,"[""Native Hawaiian or Other Pacific Islander""]"
Nativo de Hawaii u otra isla del Pacífico,"[""Native Hawaiian or Other Pacific Islander""]"
White,"[""White""]"
7,"[""White""]"
Blanco,"[""White""]"
Egyptian-Hispanic-White,"[""Middle Eastern or North African"", ""Hispanic, Latinx, or Spanish Origin"", ""White""]"
Asian American and White,"[""Asian-American"", ""White""]"
Biracial White and Africa American,"[""White"", ""African-American, Afro-Caribbean or Black""]"
White Hispanic,"[""White"", ""Hispanic, Latinx, or Spanish Origin""]"
White/Asian,"[""White"", ""Asian-American""]"
"Korean, Puerto Rican, Chinese and White","[""Asian-American"", ""Hispanic, Latinx, or Spanish Origin"", ""White""]"
Mixed,"[""Unspecified multiple ethnicities""]"
White / Asian,"[""White"", ""Asian-American""]"
prefer not to answer,[]
American-born Chinese,"[""Asian-American""]"
Half Afghan (Arab) Half Bosnian (Eastern European),"[""White"", ""Other (non-white)""]"
Canadian with Tunisian Origin from parents,"[""Middle Eastern or North African""]"
Mixed race,"[""Unspecified multiple ethnicities""]"
Uncategorized,[]
Mixed,"[""Unspecified multiple ethnicities""]"
Latin and Indian,"[""Hispanic, Latinx, or Spanish Origin"", ""Asian-American""]"
Chicano / Indigenous,"[""Hispanic, Latinx, or Spanish Origin"", ""Other (non-white)""]"
Hispanic or Spanish Origin,"[""Hispanic, Latinx, or Spanish Origin""]"
Latinx,"[""Hispanic, Latinx, or Spanish Origin""]"
latin,"[""Hispanic, Latinx, or Spanish Origin""]"
"Argentinean father, Indian/Bengali mom","[""Hispanic, Latinx, or Spanish Origin"", ""Asian-American""]"
"half-Korean, half-Jewish","[""Asian-American""]"
"Mother is White, Father is Argentinian","[""White"", ""Hispanic, Latinx, or Spanish Origin""]"
Mexicanos,"[""Hispanic, Latinx, or Spanish Origin""]"
African American,"[""African-American, Afro-Caribbean or Black""]"
Hispanic/LatinX,"[""Hispanic, Latinx, or Spanish Origin""]"
Karen,"[""Asian-American""]"
Kachin and Burmese,"[""Asian-American""]"
Kachin and burmese,"[""Asian-American""]"
African-white,"[""African-American, Afro-Caribbean or Black"", ""White""]"
South Asian / White,"[""White"", ""Asian-American""]"
Hispanic American,"[""Hispanic, Latinx, or Spanish Origin""]"
Black or African American,"[""African-American, Afro-Caribbean or Black""]"
American Indian or Alaska Native,"[""Native American or Alaska Native""]"
mixed northern European immigrant,"[""White""]"
Latin American/White,"[""White"", ""Hispanic, Latinx, or Spanish Origin""]"
Mixed Asian (Indian) and White (German/Polish),"[""Asian-American"",""White""]"
Biracial - his birth mother is white Irish American and his birth father is African-American/Black Hispanic,"[""White"",""African-American, Afro-Caribbean or Black""]"
Asian - Indian,"[""Asian-American""]"
Indian+Cuban,"[""Asian-American"",""Hispanic, Latinx, or Spanish Origin""]"
Multi,"[""Unspecified multiple ethnicities""]"
African American/Korean,"[""African-American, Afro-Caribbean or Black"", ""Asian-American""]"
Asian- Indian,"[""Asian-American""]"
Black,"[""African-American, Afro-Caribbean or Black""]"
Asian/American,"[""African-American, Afro-Caribbean or Black""]"
Black/White,"[""White"",""African-American, Afro-Caribbean or Black""]"
Afro-Spanish/Afro-Puerto Rican,"[""Hispanic, Latinx, or Spanish Origin"",""African-American, Afro-Caribbean or Black""]"
Hispanic,"[""Hispanic, Latinx, or Spanish Origin""]"
African-American,"[""African-American, Afro-Caribbean or Black""]"
Multiethnic,"[""Unspecified multiple ethnicities""]"
Asian (non American),"[""Asian-American""]"
East Indian,"[""Asian-American""]"
African American/White,"[""White"",""African-American, Afro-Caribbean or Black""]"
White - Asian Mix,"[""White"",""Asian-American""]"
"African American, Latinx, White","[""White"",""Hispanic, Latinx, or Spanish Origin"",""African-American, Afro-Caribbean or Black""]"
"Hispanic, Latinx","[""Hispanic, Latinx, or Spanish Origin""]"
"Hispanic,Latinx","[""Hispanic, Latinx, or Spanish Origin""]"
Latinx/Hispanic,"[""Hispanic, Latinx, or Spanish Origin""]"
Two or more,"[""Unspecified multiple ethnicities""]"
Asian Indian,"[""Asian-American""]"
Indo-European/Romani,"[""Asian-American"",""White""]"
Father African American/Asian mother Caucasian,"[""White"",""African-American, Afro-Caribbean or Black"", ""Asian-American""]"
Black & white,"[""White"",""African-American, Afro-Caribbean or Black""]"
